Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Creating Interactive Tableau Dashboards,"Learn how to create compelling, informative, and eye-catching dashboards using Tableau, the interactive data visualization software. This course covers how to take the connected data you’ve analyzed and share it on presentable dashboards. Data analytics expert Matt Francis first encourages you to consider four main questions before creating each dashboard: who is your dashboard for, what do they need to know, where will the dashboard be displayed, and why is the information important. Then he takes you step by step through the process of making a dashboard, including designing a good layout, adding charts, labeling items, coloring elements, filtering the data displayed, and adding interactive features. Lastly, Matt discusses how to use storytelling and narrative to make data more engaging.",Course,2021-07-01 12:01 UTC,N/A,false,N/A,
Machine Learning with Python: Foundations,"You’ve probably heard about machine learning before, but have you ever wondered what that term really means? How does a machine learn? Have you thought about building a machine learning model, but didn’t know where to start?
In this course, Frederick Nwanganga introduces machine learning in an approachable way and provides step-by-step guidance on how to get started with machine learning via the most in-demand language in use today, Python. Frederick starts with exactly what it means for machines to learn and the different ways they learn, then gets into how to collect, understand, and prepare data for machine learning. He also provides guided examples of how to accomplish each step using Python. Finally, he brings it all together to build, evaluate, and interpret the results of a machine learning model in Python.",Course,2022-04-28 23:13 UTC,N/A,false,N/A,
Talent Sourcing (2016),"In the war for talent, it's important to create an effective recruiting strategy. It begins with knowing where to find or ""source"" the best possible candidates. You need to proactively identify and attract top talent, so that when a position becomes available, you have developed a pipeline of qualified candidates. Learn the meaning of talent sourcing and how to create and implement a winning sourcing strategy. Award-winning recruiter and trainer Barbara Bruno introduces basic and higher-level candidate sourcing techniques, explains how to identify resources with the best ROI, and explains how to use big data, social media, and tools like LinkedIn Recruiter in your sourcing efforts.",Course,2021-09-05 17:52 UTC,N/A,false,N/A,
Technical Recruiting,"IT talent is in high demand. If you are a recruiter, focusing on this niche market can be very profitable—if you know what you're doing. Expert recruiter and trainer Barbara Bruno, CPC, CTS, explains the segments that comprise the technical recruiting niche, such as direct hires and contractors, and how you can best build your presence in this area of specialization. She provides advice on how to recruit top technical talent, understand what motivates them, validate their credentials, and build a network of qualified candidates.  She also shares tips to effectively negotiate and close more deals.<br><br>

There's a shortage of top technical talent worldwide. The demand for qualified technical recruiters has never been higher. The strategies in this course will help you recruit technical talent faster and meet the ever-growing demands of hiring authorities.",Course,2021-05-30 08:19 UTC,N/A,false,N/A,
SQL for Data Analysis,"If you’re looking to get Structured Query Language into your application development, but your story is more prequel than SQL, you need to build a solid foundational knowledge of SQL analysis. In this course, instructor Nikiya Simpson starts with a quick review of SQL basics, then focuses on fundamental SQL queries used in beginning data analysis. Nikiya explains the importance of asking the right questions of your data, as well as how those questions translate into SQL. She also shows how these concepts can be used to derive quick insights from your data to help drive effective decision-making. Nikiya finishes the course by demonstrating how to incorporate queries into tools like Microsoft Power BI to help bring you data to life.",Course,2022-12-16 15:10 UTC,N/A,false,N/A,
Sleep Is Your Superpower,"Sleep is mandatory. You can’t outsource it and you can’t negotiate it—and it has a powerful impact on everything you do while you’re awake. So why not build habits to optimize your sleep and live your best life? Learn how to make sleep a priority and take steps to achieve sleep wellness. The Sleep Ambassador®, Nancy Rothstein, shares tips for optimizing sleep and performing at your best in work and life. Learn how to prioritize sleep, assess your sleep, create the right sleep environment, and adopt strategies to fall asleep and stay asleep. Nancy offers concrete, practical advice based on research and science—so you can master sleep as your superpower.",Course,2021-09-14 13:02 UTC,N/A,false,N/A,
Using Python with Excel,"Python is the world's fastest growing programming language. It's a powerful tool that is helping to streamline development <i>and</i> data science. In this course from Madecraft, you can learn how to combine the power of the Python language with the data analysis and reporting tools in Microsoft Excel. Discover how to leverage the pandas and openpyxl libraries to inspect, filter, clean, and convert data and how to build solid reports that help businesses take action. Discover how to work with large amounts of data that would be unmanageable in Excel alone. By the end of this course, viewers will learn how this combination of tools can lead businesses to better insights than ever before.<br><br>

This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this content in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""25%"" width=""25%"">",Course,2021-03-01 17:32 UTC,N/A,false,N/A,
Python for Data Science Essential Training Part 1,"<i>Python for Data Science Essential Training</i> is one of the most popular data science courses at LinkedIn Learning. It has now been updated and expanded to two parts—for even more hands-on experience with Python. In this course, instructor Lillian Pierson takes you step by step through a practical data science project: a web scraper that downloads and analyzes data from the web. Along the way, she introduces techniques to clean, reformat, transform, and describe raw data; generate visualizations; remove outliers; perform simple data analysis; and generate interactive graphs using the Plotly library. You should walk away from this training with basic coding experience that you can take to your organization and quickly apply to your own custom data science projects.",Course,2020-10-21 09:10 UTC,N/A,false,N/A,
Azure Data Factory,"<p>If you want to grow your skills as a data scientist or enterprise application expert, you need to know how to design and manage an integrated IT strategy. Enter Azure Data Factory, the fully managed, serverless data integration service from Microsoft. In this course, instructor Karsten Ulferts shows you how to use Azure Data Factory (ADF) for pipelining and data transformation.</p><p>Explore the basics of successful deployment and the key terms of the ADF object model, ramping up your skill set to assess and analyze data output and data quality. Learn how concrete data integration solutions can be implemented with ADF, using extensions and available improvements to go beyond normal testing operations. Karsten gives you tips along the way on other more advanced object modeling tools, such as triggers, integration runtimes, Power Query, flowlets, quotas, limitations, and more.</p>",Course,2023-03-13 15:18 UTC,N/A,false,N/A,
"How to Work Smarter, Not Harder: Save Time and Money and Increase Productivity","More and more people are working from home, managing remote teams, and juggling multiple projects. The time is now to learn how to work smarter, not harder. Luckily, today’s technology makes it easier than ever to increase productivity and efficiency. This course is for anyone trying to grow their business or move ahead in their career without becoming overwhelmed. Chelsea Krost provides tangible tips, tools, and techniques to increase overall productivity and give you back precious time in the day. Learn how to embrace the mindset of successful entrepreneurs and small business owners, manage your time effectively, tackle your to-do list, leverage automation and delegation, and power up your social media, content marketing, and branding strategies to direct more attention and traffic to your business. Each tool and workflow has been tested by Chelsea and her clients—and the skills taught apply to any industry. Start watching and working smarter today.",Course,2021-08-24 04:12 UTC,N/A,false,N/A,
Excel: Lookup Functions in Depth,"Microsoft Excel offers a variety of powerful lookup functions that allow you to easily retrieve information across spreadsheets. In this course, Excel expert Dennis Taylor demystifies some of the most  significant lookup functions. Tune in to learn how to use the new XLOOKUP function, which can handle all the capabilities of the widely used VLOOKUP and HLOOKUP functions, in addition to providing more power and flexibility. Explore uses of the MATCH function and the newer, more robust XMATCH function to match up data, and learn how to extract data using the INDEX function. Discover how to restructure the lists being searched to ensure that you're using each function efficiently, and learn about dynamic array lookup functions like UNIQUE, SORT, SORTBY, and FILTER. Along the way, Dennis shares practical examples that help you grasp how to implement these functions in your workflow.",Course,2020-11-27 12:45 UTC,N/A,false,N/A,
Tableau for Data Scientists,"If your work requires any sort of graphical visualization of data, chances are you’ve run into Tableau. If you’ve been using Tableau but want to learn how to really harness its full power for data science, join expert Matt Francis in this course as he shows you how to take your skills to the next level. Matt starts with one of the most important features in Tableau: the difference between the green and blue pills (discrete and continuous data) and how this affects every single action Tableau performs. He then shows how to connect to and combine data from different data sources, how to create different charts to make sense of data, ways to transform your data with calculations, and how to create interactive maps. Finally, Matt details ways to present data effectively and how to make engaging dashboards. Whether you want to learn more about Tableau as a whole, or if you just want to improve your knowledge of a single subject, this course will help up your Tableau game.",Course,2022-05-06 09:34 UTC,N/A,false,N/A,
Architecting Big Data Applications: Real-Time Application Engineering,"Real-time systems have guaranteed response times that can be sub-seconds from the trigger. Meaning that when a user clicks a button, your app better respond—and fast. Architecting applications under real-time constraints is an even bigger challenge when you're dealing with big data. Excessive latency can cost you money, in terms of system resources consumed and customers lost. Luckily, big data technology and efficient architecture can provide the real-time responsiveness your business needs. In this course, you can learn about use cases and best practices for architecting real-time applications with technologies such as Kafka, Hazelcast, and Apache Spark.<br><br>

There is no coding involved. Instead you will see how big data tools can help solve some of the most complex challenges for businesses that generate, store, and analyze large amounts of data. The use cases are drawn from a variety of industries, including ecommerce and IT. Instructor Kumaran Ponnambalam shows how to analyze a problem, draw an architectural outline, choose the right technologies, and finalize the solution. After each use case, he reviews related best practices for real-time streaming, predictive analytics, parallel processing, and pipeline management. Each lesson is rich in practical techniques and insights from a developer who has experienced the benefits and shortcomings of these technologies firsthand.",Course,2020-11-25 11:56 UTC,N/A,false,N/A,
Using SQL with Python,"Are you familiar with SQL? Do you know Python? Are you interested in understanding how these two languages work together? Then join Bill Weinman in this course as he shows the power of these two languages combined. Bill starts with some basics—connecting to a database, performing simple queries, and reading rows from a table. He covers how to use prepared statements and cursors, how to build a wrapper class to streamline the SQL interface and support multiple different database engines, and how to build a CRUD class and a full-featured web application using what you've learned. Many applications require a combination of SQL and Python, and after finishing Bill’s course, you’ll have a better understanding of why and how you can leverage the power of these two languages together.",Course,2022-06-13 14:32 UTC,N/A,true,N/A,
The Art of Rotoscoping,"Turn your video footage into a work of art. Learn the basics of rotoscoping to build creative effects and to isolate video elements for compositing or VFX. In this course, instructor and mograph artist Eran Stern starts by diving the history and origin of rotoscoping in film and video, providing the background for subsequent practical techniques. He shows how to transform video into natural art—from pencil sketches to Van Gogh paintings, claymation to chalkboard drawings, watercolors to graffiti, and ink blots, Legos, comic books, pastels, and much more. You can also find out how to use the same foundational techniques to isolate elements for compositing and visual effects work, and create simple character animations. Plus, explore the different software for rotoscoping, from Photoshop and After Effects to professional applications such as Mocha AE.",Course,2021-01-24 06:27 UTC,N/A,false,N/A,
Spring Boot 2.0 Essential Training,"Learn how to get started with Spring Boot 2.x, a powerful framework that can help you build web applications quickly, using less code. The Java-based programs you build in Spring Boot ""just run"": they resolve their own dependencies and create containers for running code in any environment. Learn how to use Spring Boot to build your projects in this course with software architect and Spring developer Frank Moley. Frank shows how to initialize, containerize, and run Spring Boot web apps and CLI apps, and use the library of common starter projects to fill business-critical needs: data, messaging, security, and more. Plus, find how to extend Spring Boot by creating your own starters and use the Actuator module's HTTP endpoints to monitor and manage your apps.",Course,2022-02-09 23:53 UTC,N/A,false,N/A,
JavaScript: Scope,"JavaScript scope determines how variables can be accessed throughout your code. There are two scopes: global and local. Global variables are accessible from anywhere; local variables are accessible only from within the function or block the variables are declared. Scope can be confusing, especially when factors such as hoisting and closures enter the mix. This course provides a thorough introduction to the scope options for JavaScript variables, alongside challenges that help you practice what you've learned. LinkedIn Learning instructor Emmanuel Henri helps you properly scope your variables, mitigate the effects of hoisting, and declare local variables inside non-function code such as if statements using block scope.",Course,2022-07-31 05:40 UTC,N/A,false,N/A,
Nano Tips for Using Excel with Miss Excel (2021),"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>Here, join Miss Excel (aka Kat Norton)—a Microsoft MVP with 750,000+ followers on TikTok—as she shares tips and answers to common questions about Microsoft Excel, all set to a beat. Topics include fixing data in Excel (PivotTable), the filter function in Excel (VLOOKUP), VBA basics in Excel, and more. Each high-energy video offers up quick fixes for things you need to know right now about Excel and also prepares you for more in-depth learning.",Course,2022-01-26 16:11 UTC,N/A,false,N/A,
Learning Pix4D Drone Mapping,"Pix4D is a leader in small unmanned aerial system (sUAS or ""drone"") photogrammetry, building software that enables users to analyze complex image data and create orthomosaics and 3D models, all from photographs. With a drone, a camera, and the powerful processing engine in Pix4D, the science of photogrammetry is accessible to just about anyone. In this course, you can learn the basics of using Pix4D. Instructor Paul Tice explains how Pix4D pairs with different drones and cameras, and then shows how to program simple 2D missions for your drone with Pix4Dcapture. He then shows how to prepare for flight and retrieve the data and imagery once your drone has landed. In the last few chapters, Paul dives into Pix4D Desktop, where he shows how to process your data and produce outputs such as point clouds, 3D maps, and models. Plus, learn how to deal with large projects and turn the power of Pix4D onto architecture, engineering, and construction (AEC) data, such as 3D building scans.",Course,2022-05-21 06:32 UTC,N/A,false,N/A,
Learning Amazon Web Services (AWS) for Developers,"Amazon Web Services (AWS) is the leading cloud service provider today, ahead of competitors such as Microsoft Azure and Google Cloud Platform. It is seen by many as the standard for functional, reliable, interoperable, and affordable cloud services. Developers need to understand what it means to develop on and migrate to the cloud—and comprehend the overall landscape of AWS before diving into the platform. This course provides a high-level overview just for developers, focusing on the AWS features and services of the most interest to them. Instructor Bear Cahill introduces AWS Lambda, DynamoDB, ElastiCache, Elastic Beanstalk, S3, SQS, SNS, and many more key features and services.",Course,2023-01-10 13:36 UTC,N/A,true,N/A,
Learning Docker (2018),"Docker is the next step beyond virtualization. A Docker image contains everything it needs to run, independent of the Linux server on which it lives: a copy of the operating system, a database, code, configuration files, dependencies, and so on. Images can also be packaged and shared with other Docker admins. Arthur Ulfeldt uses Docker to run complex systems with millions of users and hundreds of containers. Here, he shares his knowledge with you. He introduces the basics of Docker, including its containers, Dockerfiles (or base images), and capabilities for networking, data management, infrastructure optimization, and more. Watch and learn how to build your own containers, as well as how to network and link containers.",Course,2021-08-02 11:56 UTC,N/A,false,N/A,
JavaScript: Classes (2018),"The release of ECMAScript 2015 brought class syntax to JavaScript, providing developers used to class inheritance with some familiar tools. If you're new to the language—or just unsure how classes work in ECMAScript 6 (ES6)—then this course is for you. Join instructor Emmanuel Henri as he explains how classes work in ES6. He starts with the foundations of classes and how they interact with other JavaScript features. He then goes over constructors, mixins, and extends, explaining how they work and sharing code examples.",Course,2019-11-09 05:56 UTC,N/A,false,N/A,
First Look: Python 3.9,"Python, like any modern language, is always evolving. In this course, instructor Claire Burn dives into Python 3.9, highlighting the new features, improvements, and deprecations packed into this release. Learn about the significant Python Enhancement Proposals (PEPs) included in Python 3.9, as well as how to distinguish which modules are new (and why they are notable). Discover which modules have been deprecated and why this was necessary. Plus, get tips for overcoming common challenges while porting from Python 2 to Python 3.9, or Python 3.x to Python 3.9.",Course,2021-04-21 11:03 UTC,N/A,false,N/A,
NLP with Python for Machine Learning Essential Training,"With the increased amount of data publicly available and the increased focus on unstructured text data, understanding how to clean, process, and analyze that text data is tremendously valuable. If you have some experience with Python and an interest in natural language processing (NLP), this course can provide you with the knowledge you need to tackle complex problems using machine learning. Instructor Derek Jedamski provides a quick summary of basic natural language processing (NLP) concepts, covers advanced data cleaning and vectorization techniques, and then takes a deep dive into building machine learning classifiers. During this last step, Derek shows how to build two different types of machine learning models, as well as how to evaluate and test variations of those models.",Course,2021-03-16 12:47 UTC,N/A,false,N/A,
Blender 2.91 Essential Training,"Blender is a powerful open-source solution for 2D and 3D modeling, animation, compositing, and post-production. In this course, get a thorough overview of the feature set in Blender 2.91 and beyond, as well as practical production techniques that combine know-how with a healthy dose of how-to. Instructor David Andrade dives into specific techniques, such as scene layout and modeling, sculpting, texturing and shading, 2D and 3D animation, character rigging, dynamic simulations, rendering, and game engine exporting. Plus, get performance-boosting tricks to get Blender to render your creations even faster. Each lesson helps you gain the control and skill you need to create professional artwork for multiple platforms: games, movies, and animation.",Course,2022-01-03 03:32 UTC,N/A,false,N/A,
SQL Server Machine Learning Services: Python,"Learn how to analyze SQL Server data with Python. Database expert Adam Wilbert shows how to use a powerful combination of tools, including high-performance Python libraries and the Machine Learning Services add-on, directly inside SQL Server to streamline analysis. Adam shows how to use Python scripts to perform statistical analysis, generate graphics such as scatterplots and bar charts, and process tabular data. He also explains how to turn a Python script into a stored procedure and set up standalone ML services to execute scripts without impacting SQL Server performance.",Course,2021-06-06 08:46 UTC,N/A,false,N/A,
Writing a Tech Resume,"When you apply for technology jobs, your resume is your opportunity to stand out from the crowd. Emma Bostian shows you how to showcase your technology skills, framing them to impress recruiters and potential employers. Discover how to tailor the content and length to catch a hiring manager’s eye. Learn how to leverage minor design details like spacing, font choice, and color palette to differentiate your resume from the rest, without stepping too far out. Plus, learn how to create a professional online presence on the platforms tech recruiters use most: LinkedIn and GitHub.",Course,2022-01-19 03:26 UTC,N/A,false,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-10-09 05:21 UTC,N/A,false,N/A,
Building Modern Projects with React,"Learn about some of the most important tools in the React ecosystem that help you simplify development and manage the complexities of state, side effects, structure, and styling. Instructor Shaun Wassell shows how to create a basic React project, and then explains how to add Redux, create thunks, use selectors, work with styled-components, perform testing, and more.",Course,2021-09-22 01:37 UTC,N/A,false,N/A,
Python Essential Training (2022),"Python is one of the most used dynamic languages for many large organizations, including Google, Yahoo, and IBM. Supported on all major operating systems, it comes pre-installed on Macs, and most Linux and Unix-based systems. In this course, instructor Ryan Mitchell gives you a comprehensive, accessible overview of Python 3. Ryan covers topics required for day-to-day programming in Python, including data types, data structures, operators and statements, control flow, loops, functions, classes, exception handling, and file management. If you’re just starting out on a computer programming journey and want to learn how to write Python programs to accomplish a wide variety of tasks, join Ryan in this course to start building a solid foundation to a Python career.",Course,2022-09-13 13:39 UTC,N/A,false,N/A,
Kubernetes: Microservices,"Build scalable and reliable microservices with Kubernetes. Kubernetes is a popular DevOps tool for managing containers at scale. Microservices allow developers to deploy individual app components, enabling continuous integration and increased fault tolerance. This course teaches how these technologies combine—culminating in a real-world microservices application hosted in a Kubernetes environment. Instructor Karthik Gaekwad describes the benefits of microservices and shows how they can be implemented inside the container-based architecture paradigm. Using an existing monolithic application, he breaks down its functionality, adds Kubernetes constructs, and deploys the new services into a Kubernetes environment with Minikube. Finally, Karthik introduces tools such as Helm and Jaeger, which are used along with Kubernetes to build more resilient microservices.",Course,2020-10-27 07:49 UTC,N/A,false,N/A,
Learning Kubernetes (2018),"Kubernetes is the world's most popular open-source container orchestration engine. It offers the ability to schedule and manage containers—Docker or otherwise—at scale. This course introduces developers, DevOps engineers, and IT pros to Kubernetes. First, learn how to get a Kubernetes environment up and running on Mac or Windows using Minikube, and understand the components for Kubernetes. Next, deploy a sample Kubernetes application and manage it with the Kubernetes dashboard. Instructor Karthik Gaekwad also shows how to deploy a more complicated application with a database and APIs. Then learn how to run jobs and cron jobs. Finally, explore more advanced topics, including production deployments, namespaces, monitoring and logging, and authentication and authorization.",Course,2021-09-07 07:42 UTC,N/A,false,N/A,
Python Essential Training (2018),"Due to its power and simplicity, Python has become the scripting language of choice for many large organizations, including Google, Yahoo, and IBM. A thorough understanding of Python 3, the latest version, will help you write more efficient and effective scripts. In this course, Bill Weinman demonstrates how to use Python 3 to create well-designed scripts and maintain existing projects. This course covers the basics of the language syntax and usage, as well as advanced features such as objects, generators, and exceptions. Learn how types and values are related to objects; how to use control statements, loops, and functions; and how to work with generators and decorators. Bill also introduces the Python module system and shows examples of Python scripting at work in a real-world application.",Course,2020-10-22 03:32 UTC,N/A,false,N/A,
Scrum: The Basics,"If you've spent any time in the project management world, you've likely heard of scrum—the popular framework for managing complex processes. If this mysterious-sounding framework has piqued your interest, this course can help provide you with a basic understanding of what scrum is and how you can start implementing it at work. Follow scrum expert Kelley O'Connell as she walks through why scrum has taken the business world by storm, and how it asks you to organize your team and work. Plus, she explains how to manage your projects and measure how they're faring, and set manageable improvement goals.",Course,2021-04-05 13:49 UTC,N/A,false,N/A,
